0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:03:33 -0300] "GET /SalaDeAula_Project/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:03:33 -0300] "GET /SalaDeAula_Project/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:03:33 -0300] "GET /SalaDeAula_Project/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:03:33 -0300] "GET /SalaDeAula_Project/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:03:33 -0300] "GET /SalaDeAula_Project/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:03:33 -0300] "GET /SalaDeAula_Project/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:03:52 -0300] "GET /SalaDeAula_Project/TelaInicial.xhtml HTTP/1.1" 200 12923
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:03:52 -0300] "GET /SalaDeAula_Project/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:03:52 -0300] "GET /SalaDeAula_Project/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:03:52 -0300] "GET /SalaDeAula_Project/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:03:52 -0300] "GET /SalaDeAula_Project/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:03:52 -0300] "GET /SalaDeAula_Project/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:03:52 -0300] "GET /SalaDeAula_Project/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:04:27 -0300] "GET /SalaDeAula_Project/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:04:27 -0300] "GET /SalaDeAula_Project/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:04:27 -0300] "GET /SalaDeAula_Project/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:04:27 -0300] "GET /SalaDeAula_Project/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:04:27 -0300] "GET /SalaDeAula_Project/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:04:27 -0300] "GET /SalaDeAula_Project/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:04:27 -0300] "GET /SalaDeAula_Project/TelaInicial.xhtml HTTP/1.1" 200 12921
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:05:09 -0300] "GET /SalaDeAula_Project/TelaInicial.xhtml HTTP/1.1" 200 12935
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:05:09 -0300] "GET /SalaDeAula_Project/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:05:09 -0300] "GET /SalaDeAula_Project/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:05:09 -0300] "GET /SalaDeAula_Project/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:05:09 -0300] "GET /SalaDeAula_Project/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:05:09 -0300] "GET /SalaDeAula_Project/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:05:09 -0300] "GET /SalaDeAula_Project/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:05:45 -0300] "GET /SalaDeAula_Project/TelaInicial.xhtml HTTP/1.1" 200 12936
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:05:45 -0300] "GET /SalaDeAula_Project/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:05:45 -0300] "GET /SalaDeAula_Project/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:05:45 -0300] "GET /SalaDeAula_Project/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:05:45 -0300] "GET /SalaDeAula_Project/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:05:45 -0300] "GET /SalaDeAula_Project/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:05:45 -0300] "GET /SalaDeAula_Project/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:06:42 -0300] "GET /SalaDeAula_Project/TelaInicial.xhtml HTTP/1.1" 200 12922
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:06:42 -0300] "GET /SalaDeAula_Project/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:06:42 -0300] "GET /SalaDeAula_Project/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:06:42 -0300] "GET /SalaDeAula_Project/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:06:42 -0300] "GET /SalaDeAula_Project/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
